Location,Population
Las Vegas,"632,912"
Phoenix,"1,615,000"
Toronto,"5,928,040"
Scottsdale,"246,645"
Charlotte,"842,051"
Henderson,"292,969"
Pittsburgh,"303,625"
Mesa,"484,587"
Tempe,"182,498"
Chandler,"247,477"
Montreal,"1,750,000"
Gilbert,"237,133"
Glendale,"200,831"
Cleveland,"385,809"
